language,country-code,geoId,name,local-name,trimmed-name,is-exclude
vi,VN,30014786,Phu Mo Commune,Xã Phú Mỡ,Phú Mỡ,FALSE
vi,VN,30014785,Da Loc Commune,Xã Đa Lộc,Đa Lộc,FALSE
vi,VN,30014795,Xuan Son Nam Commune,Xã Xuân Sơn Nam,Xuân Sơn Nam,FALSE
vi,VN,30014789,Xuan Quang 1 Commune,Xã Xuân Quang 1,Xuân Quang 1,FALSE
vi,VN,10009905,Yen Lap Township,Thị trấn Yên Lập,Yên Lập,FALSE
vi,VN,30014820,Duc Binh Dong Commune,Xã Đức Bình Đông,Đức Bình Đông,FALSE
vi,VN,30014819,Son Giang Commune,Xã Sơn Giang,Sơn Giang,FALSE
vi,VN,30014816,Ea Lam Commune,Xã Ea Lâm,Ea Lâm,FALSE
vi,VN,30010277,Tam Dao District,Huyện Tam Đảo,Tam Đảo,FALSE
vi,VN,30014824,Song Hinh Commune,Xã Sông Hinh,Sông Hinh,FALSE
vi,VN,30014817,Duc Binh Tay Commune,Xã Đức Bình Tây,Đức Bình Tây,FALSE
vi,VN,30014822,Ea Bia Commune,Xã Ea Bia,Ea Bia,FALSE
vi,VN,30014823,Ea Trol Commune,Xã Ea Trol,Ea Trol,FALSE
vi,VN,30014818,Ea Ba Commune,Xã Ea Bá,Ea Bá,FALSE
vi,VN,30014825,Ea Ly Commune,Xã Ea Ly,Ea Ly,FALSE
vi,VN,30016342,Luc Nam Township,Thị trấn Lục Nam,Lục Nam,FALSE
vi,VN,30014805,Son Long Commune,Xã Sơn Long,Sơn Long,FALSE
vi,VN,30014804,Son Dinh Commune,Xã Sơn Định,Sơn Định,FALSE
vi,VN,30014803,Son Hoi Commune,Xã Sơn Hội,Sơn Hội,FALSE
vi,VN,30014814,Suoi Trai Commune,Xã Suối Trai,Suối Trai,FALSE
vi,VN,30014811,Krong Pa Commune,Xã Krông Pa,Krông Pa,FALSE
vi,VN,30014809,Son Nguyen Commune,Xã Sơn Nguyên,Sơn Nguyên,FALSE
vi,VN,30014807,Son Phuoc Commune,Xã Sơn Phước,Sơn Phước,FALSE
vi,VN,30014808,Son Xuan Commune,Xã Sơn Xuân,Sơn Xuân,FALSE
vi,VN,30014812,Suoi Bac Commune,Xã Suối Bạc,Suối Bạc,FALSE
vi,VN,30014813,Son Ha Commune,Xã Sơn Hà,Sơn Hà,FALSE
vi,VN,30016302,Tan Dan Township,Thị trấn Tân Dân,Tân Dân,FALSE
vi,VN,30014802,Phuoc Tan Commune,Xã Phước Tân,Phước Tân,FALSE
vi,VN,30014810,Eacha Rang Commune,Xã Eachà Rang,Eachà Rang,FALSE
vi,VN,30014806,Ca Lui Commune,Xã Cà Lúi,Cà Lúi,FALSE
vi,VN,30014780,Hoa Xuan Nam Commune,Xã Hòa Xuân Nam,Hòa Xuân Nam,FALSE
vi,VN,30014777,Hoa Hiep Nam Commune,Xã Hòa Hiệp Nam,Hòa Hiệp Nam,FALSE
vi,VN,10010646,Nha Nam Township,Thị trấn Nhã Nam,Nhã Nam,FALSE
vi,VN,30016305,An Chau Township,Thị trấn An Châu,An Châu,FALSE
vi,VN,30014779,Hoa Tam Commune,Xã Hòa Tâm,Hòa Tâm,FALSE
vi,VN,30014776,Hoa Xuan Tay Commune,Xã Hòa Xuân Tây,Hòa Xuân Tây,FALSE
vi,VN,30014772,Hoa Hiep Bac Commune,Xã Hòa Hiệp Bắc,Hòa Hiệp Bắc,FALSE
vi,VN,30014771,Hoa Thanh Commune,Xã Hòa Thành,Hòa Thành,FALSE
vi,VN,10010072,Cat Hai District,Huyện Cát Hải,Cát Hải,FALSE
vi,VN,30014599,Xuan Hoa Commune,Xã Xuân Hòa,Xuân Hòa,FALSE
vi,VN,30014601,Xuan Lam Commune,Xã Xuân Lâm,Xuân Lâm,FALSE
vi,VN,30014597,Xuan Binh Commune,Xã Xuân Bình,Xuân Bình,FALSE
vi,VN,30014598,Xuan Canh Commune,Xã Xuân Cảnh,Xuân Cảnh,FALSE
vi,VN,30014603,Xuan Phuongn Commune,Xã Xuân Phương,Xuân Phương,FALSE
vi,VN,30014606,Xuan Tho 2 Commune,Xã Xuân Thọ 2,Xuân Thọ 2,FALSE
vi,VN,30014604,Xuan Thinh Commune,Xã Xuân Thịnh,Xuân Thịnh,FALSE
vi,VN,30014605,Xuan Tho 1 Commune,Xã Xuân Thọ 1,Xuân Thọ 1,FALSE
vi,VN,30014600,Xuan Hai Commune,Xã Xuân Hải,Xuân Hải,FALSE
vi,VN,30015956,Cat Hai Township,Thị trấn Cát Hải,Cát Hải,FALSE
vi,VN,30014341,Tien Ky Township,Thị trấn Tiên Kỳ,Tiên Kỳ,FALSE
vi,VN,30014796,Hoa Xuan Commune,Xã Hòa Xuân,Hòa Xuân,FALSE
vi,VN,30014725,Cu EBur Commune,Xã Cư ÊBur,Cư ÊBur,FALSE
vi,VN,30014794,Hoa Thang Commune,Xã Hòa Thắng,Hòa Thắng,FALSE
vi,VN,30014784,Hoa Phu Commune,Xã Hoà Phú,Hoà Phú,FALSE
vi,VN,30014790,Hoa Thuan Commune,Xã Hòa Thuận,Hòa Thuận,FALSE
vi,VN,30014726,Ea Kao Commune,Xã Ea Kao,Ea Kao,FALSE
vi,VN,30014727,Ea Tu Commune,Xã Ea Tu,Ea Tu,FALSE
vi,VN,10010233,Duc Pho,Huyện Đức Phổ,Đức Phổ,FALSE
vi,VN,10010195,Kon Tum city,Thành phố Kon Tum,Kon Tum,FALSE
vi,VN,10009960,Gia Lai Province,Tỉnh Gia Lai,Gia Lai,FALSE
vi,VN,30016248,Vinh Hai Commune,Xã Vĩnh Hải,Vĩnh Hải,FALSE
vi,VN,30016245,Tan Hai Commune,Xã Tân Hải,Tân Hải,FALSE
vi,VN,30016242,Ho Hai Commune,Xã Hộ Hải,Hộ Hải,FALSE
vi,VN,30016249,Xuan Hai Commune,Xã Xuân Hải,Xuân Hải,FALSE
vi,VN,30016246,Thanh Hai Commune,Xã Thanh Hải,Thanh Hải,FALSE
vi,VN,30016243,Nhon Hai Commune,Xã Nhơn Hải,Nhơn Hải,FALSE
vi,VN,30016247,Tri Hai Commune,Xã Tri Hải,Tri Hải,FALSE
vi,VN,30016244,Phuong Hai Commune,Xã Phương Hải,Phương Hải,FALSE
vi,VN,30014758,Duc Tai Township,Thị trấn Đức Tài,Đức Tài,FALSE
vi,VN,10010533,Phu Quy District,Huyện Phú Quý,Phú Quý,FALSE
vi,VN,30012778,Cam An Bac Commune,Xã Cam An Bắc,Cam An Bắc,FALSE
vi,VN,30013695,Son Hiep Commune,Xã Sơn Hiệp,Sơn Hiệp,FALSE
vi,VN,30016143,Hau Loc Township,Thị trấn Hậu Lộc,Hậu Lộc,FALSE
